ticker,pe_ratio,combinedrank
ORI,12.44,734.75
EVER,0.0,872.0
REE,0.0,858.75
CLOV,0.0,869.25
CKPT,0.0,764.75
RDWR,0.0,815.0
PTC,60.32,760.75
ANGI,23.86,870.0
PINC,16.0,732.75
RKDA,0.0,861.0
AWX,13.04,867.5
CFLT,0.0,732.5
CXW,31.12,746.25
RYAM,0.0,817.0
MNKD,97.86,730.25
SMID,35.85,855.5
KRO,12.11,834.5
SKIL,0.0,877.0
LNKB,0.0,836.5
DHIL,8.5,859.75
REAL,0.0,891.5
KGC,35.87,726.0
RNG,0.0,788.25
SBS,5.65,792.5
PPC,17.96,763.25
SEIC,19.99,802.25
HOOD,0.0,741.75
TIGO,61.13,878.5
CURI,0.0,870.75
ECPG,0.0,856.75
ADCT,0.0,817.25
DFS,10.5,785.75
ALGS,0.0,918.75
CWK,35.38,783.75
PM,19.72,768.0
PBH,19.15,854.25
PAAS,0.0,776.25
BTMD,23.46,873.0
AXS,12.49,842.0
OKTA,0.0,821.25
EFXT,0.0,941.25
TUYA,0.0,871.75
ORLA,0.0,886.5
MTEX,0.0,924.0
VIRC,6.36,892.0
ALLT,0.0,947.0
ABT,34.72,784.25
NGD,0.0,785.75
PB,15.91,851.75
IBN,20.61,820.75
FTNT,51.15,792.25
NGS,19.32,918.75
TR,24.32,911.5
XMTR,0.0,876.5
ASIX,19.89,898.25
HAS,0.0,822.0
LAZ,20.73,851.75
BFLY,0.0,822.0
FTDR,18.57,870.5
MIRM,0.0,880.75
UPST,0.0,855.75
BK,16.87,814.0
TNDM,0.0,842.5
NEO,0.0,853.0
SYF,10.14,813.75
PSTX,0.0,878.5
AU,31.45,837.5
UMH,146.69,856.0
VIVK,0.0,954.75
MTX,16.02,899.75
FARO,0.0,919.25
DMLP,11.52,955.5
MCY,2.61,886.0
ASMB,0.0,971.0
CCEL,0.0,976.0
PDYN,0.0,996.5
MRIN,0.0,964.25
ALK,14.32,895.5
AMZN,48.16,819.25
BMO,15.2,929.25
XBIO,0.0,987.25
HUBS,0.0,927.25
NVAX,0.0,874.25
BEST,0.0,987.75
DGII,50.39,907.25
SPSC,90.11,944.0
TPX,23.9,885.75
ZUO,0.0,859.0
RNXT,0.0,980.5
NR,30.2,912.5
CCSI,5.16,976.0
VXRT,0.0,1028.25
IGC,0.0,968.75
GAN,0.0,994.5
SCM,6.85,994.75
ATER,0.0,1004.75
KRMD,0.0,1001.25
PPL,28.96,880.25
GBX,12.55,946.0
CMMB,0.0,1041.5
CBAT,6.5,1052.75
SNCR,0.0,1018.25
DD,40.67,916.5
DUK,19.9,924.25
AEP,18.59,915.5
NET,0.0,926.0
RIGL,122.07,1043.75
TMUS,25.65,912.25
NOC,29.09,975.75
STKL,0.0,972.0
WDC,35.44,911.5
HDB,19.53,938.5
SLS,0.0,1073.0
ZLAB,0.0,1042.0
APAM,12.18,989.25
EIX,23.32,934.0
INN,682.0,962.0
SUPN,33.11,1016.75
TGNA,6.5,947.75
CDE,451.5,924.25
ATOS,0.0,1051.75
GOSS,0.0,1022.0
CFFN,20.72,962.5
BHF,0.0,1007.75
CSTL,137.65,1044.75
ELBM,0.0,1098.5
NURO,0.0,1086.0
DGICA,20.47,1067.0
BHR,0.0,1039.25
RARE,0.0,1019.25
MG,25.37,1092.5
LCFY,0.0,1106.0
VHI,6.97,1118.75
SO,19.27,981.75
VNO,0.0,989.0
V,32.65,961.75
MAX,65.94,1091.5
NXST,9.17,1016.5
EGO,11.34,1032.25
SKYT,0.0,1079.5
FSEA,0.0,1125.25
GTLS,53.57,1062.0
SHG,5.31,1124.25
OII,16.82,1047.75
TROW,12.7,1022.0
BRCC,0.0,1104.5
TISI,0.0,1153.25
LMNR,90.69,1147.0
SRAD,83.1,1115.5
HRTX,0.0,1113.25
BCRX,0.0,1053.5
NVCR,0.0,1094.25
HYLN,0.0,1107.0
NVDA,0.0,1029.25
UBER,30.21,1042.5
GNK,8.75,1149.0
TME,23.9,1088.25
CATX,0.0,1091.0
PCYO,26.98,1172.5
CKX,58.18,1200.75
CFB,10.56,1158.75
INSG,0.0,1174.0
UFCS,14.92,1158.75
BLKB,74.81,1146.75
FNF,20.4,1099.0
ALAR,0.0,1221.25
AVY,22.58,1146.25
ATXS,0.0,1150.75
HALO,15.55,1096.25
QCOM,17.01,1072.5
BWAY,0.0,1205.5
ADAP,0.0,1245.0
FLR,33.56,1123.75
MU,132.53,1074.75
BDSX,0.0,1176.0
DNB,0.0,1137.25
ELAN,29.08,1100.5
SUI,66.49,1153.5
FNKO,0.0,1184.5
MATX,11.39,1167.0
FCX,28.36,1098.0
OLED,30.03,1164.5
GBLI,12.37,1249.0
VINE,0.0,1263.0
SBCF,20.0,1172.75
AGI,30.55,1143.25
FHTX,0.0,1225.25
WM,31.47,1152.75
WTS,24.22,1217.75
BEEP,0.0,1233.0
HNI,20.01,1179.25
MSFT,36.02,1133.0
BURU,0.0,1314.25
INGN,0.0,1274.75
LEGH,11.39,1266.25
MRCC,13.55,1304.25
SHBI,12.81,1281.75
TKNO,0.0,1330.5
CSGS,22.56,1282.5
FLGC,0.0,1283.75
VANI,0.0,1310.25
ROL,48.88,1214.0
WSBF,18.47,1307.25
WCN,47.88,1236.0
UP,0.0,1287.0
ALEX,28.18,1260.25
ACT,7.61,1312.5
NKTR,0.0,1287.75
HBM,35.83,1245.0
ZWS,47.44,1250.75
TSVT,0.0,1300.5
VRRM,39.43,1269.0
MTG,8.33,1242.75
AA,0.0,1236.25
NU,28.83,1221.0
M,33.14,1292.75
TBLA,0.0,1337.75
ERAS,0.0,1303.5
RPAY,0.0,1300.75
ILPT,0.0,1324.0
AB,10.68,1323.25
CERS,0.0,1344.75
BAH,20.59,1307.0
EQ,0.0,1418.5
IDA,20.18,1352.25
AVNT,25.62,1345.75
LXFR,39.94,1364.25
MAIA,0.0,1429.25
WLKP,13.11,1433.25
SCCO,23.95,1383.75
NRXS,0.0,1452.0
MKSI,230.07,1370.25
EBS,0.0,1359.0
LDOS,16.49,1342.75
OSPN,38.83,1400.25
GSL,2.35,1430.0
RMTI,0.0,1435.0
VTEX,94.67,1418.5
SCWX,0.0,1446.0
BDTX,0.0,1434.25
VHC,0.0,1472.75
VICI,10.66,1346.5
AEE,17.37,1389.5
DAWN,0.0,1417.25
LSPD,0.0,1461.5
SRBK,101.42,1527.0
NEM,0.0,1380.0
CZFS,11.43,1518.0
HSHP,10.0,1525.5
PINE,74.5,1529.25
CCCC,0.0,1438.5
IOVA,0.0,1433.75
RUN,0.0,1440.25
BCOW,0.0,1579.25
HL,0.0,1435.25
SGHT,0.0,1568.0
POR,13.14,1528.0
APD,17.17,1533.25
AWK,21.86,1530.5
MRSN,0.0,1591.5
FERG,19.47,1549.25
PERF,31.71,1762.0
MIGI,0.0,1750.0
KDP,19.62,1628.75
GEHC,21.68,1675.75
NATH,14.87,1815.0
AVDL,0.0,1776.75
UNF,23.05,1827.5
