Date,Tickers
2024-10-29,"['HSBC', 'AMT', 'RSG', 'OKE', 'EXR', 'EIX', 'RDDT', 'FSLR', 'ZBRA', 'LDOS', 'AMH', 'BMRN', 'DTM', 'ALSN', 'GPK', 'CHE', 'CZR', 'ESAB', 'EXLS', 'AWI', 'CROX', 'LBTYA', 'KAI', 'ENIC', 'CBZ', 'HAYW', 'PK', 'HNI', 'CAKE', 'STNG', 'ALHC', 'SKWD', 'HEES', 'WGS', 'HURN', 'TXG', 'HRMY', 'ENVX', 'NGVT', 'OPRA', 'ATRC', 'JBGS', 'KNSA', 'BLX', 'UDMY', 'CECO', 'NXRT', 'SSTK', 'JBI', 'GIC', 'BXC', 'NRDS', 'BRSP', 'RYI', 'TRTX', 'LXU', 'TALK', 'TTI', 'CPAC', 'UIS', 'LXFR', 'SAGE', 'HRZN', 'CIVB', 'ATNI', 'NAUT', 'ILPT', 'PERF', 'MFIN', 'BMEA', 'FSP', 'CBNA', 'BYFC', 'PRTS', 'BGFV', 'SYRA', 'HAO']"
2024-10-30,"['BKNG', 'EQIX', 'COIN', 'DASH', 'PSA', 'CVNA', 'AEM', 'GRMN', 'VRSK', 'KHC', 'EXC', 'VMC', 'ACGL', 'MLM', 'HOOD', 'EBAY', 'GPN', 'GDDY', 'SW', 'VTR', 'AWK', 'BIIB', 'ZBH', 'INVH', 'RYAN', 'TLK', 'AER', 'TWLO', 'NI', 'UTHR', 'CF', 'FTAI', 'SFM', 'CW', 'SMMT', 'CLH', 'AUR', 'SCI', 'FND', 'PCOR', 'ROKU', 'PPC', 'PCTY', 'COKE', 'MGM', 'AR', 'PSN', 'PEN', 'WING', 'FRT', 'BIO', 'BIO.B', 'DRS', 'ALTR', 'SUM', 'ITCI', 'INFA', 'OLED', 'SPXC', 'WTS', 'AM', 'CWST', 'BECN', 'WSC', 'SITE', 'ETSY', 'CGNX', 'BLCO', 'CORT', 'HR', 'MMSI', 'BPMC', 'KRG', 'SHAK', 'GTES', 'NSA', 'ACA', 'CWEN.A', 'WHD', 'MGY', 'CRK', 'IRT', 'MATX', 'RELY', 'GHC', 'OPCH', 'BLKB', 'ALKT', 'RIOT', 'ALE', 'ACHC', 'COMP', 'RIG', 'BVN', 'TEX', 'EPR', 'NVCR', 'BNL', 'HCC', 'VAL', 'CWEN', 'RSI', 'HTGC', 'LMND', 'GRBK', 'UE', 'IRTC', 'FCPT', 'LIVN', 'BHC', 'MYRG', 'AIN', 'MCW', 'MTRN', 'TRUP', 'OMCL', 'ROCK', 'OSW', 'COCO', 'CNXN', 'CHEF', 'DAN', 'TDOC', 'CODI', 'VRE', 'GLPG', 'SCL', 'INMD', 'ARVN', 'JKS', 'MDXG', 'ATEC', 'IMAX', 'THRM', 'DAWN', 'TNK', 'EIG', 'NMFC', 'STAA', 'ROOT', 'FVRR', 'CTOS', 'DQ', 'PGRE', 'WEAV', 'PLSE', 'ERII', 'PUMP', 'ACEL', 'EEX', 'FIP', 'RWT', 'NBBK', 'TRIN', 'SITC', 'AVNS', 'TIPT', 'HLF', 'MAX', 'SMP', 'WSR', 'LAB', 'OSPN', 'PLPC', 'RGR', 'CSV', 'FPI', 'NYMT', 'CLMB', 'CRMD', 'NOA', 'TK', 'NWPX', 'NOVA', 'TWI', 'OFLX', 'SNBR', 'PKST', 'FMAO', 'LRMR', 'USAP', 'ZIMV', 'HVT.A', 'HVT', 'MTW', 'OIS', 'SPOK', 'CERS', 'ORN', 'CVEO', 'JAKK', 'MVBF', 'MG', 'LUNG', 'HBB', 'NC', 'NNBR', 'AMRN', 'RMNI', 'SMHI', 'SRI', 'RCKY', 'AMWL', 'MRAM', 'WHG', 'ACR', 'FAT', 'OPI', 'NCSM', 'STEM', 'AWRE', 'CPSH', 'GIGM', 'TOMZ', 'MEGL', 'JCSE', 'PCSA']"
2024-10-31,"['BUD', 'SO', 'CNQ', 'PWR', 'LNG', 'IR', 'OWL', 'ARGX', 'IQV', 'ABEV', 'VICI', 'ALNY', 'ETR', 'CVE', 'CQP', 'LI', 'EME', 'ERIE', 'CTRA', 'H', 'LNT', 'SN', 'INSM', 'NCLH', 'LECO', 'APG', 'MTZ', 'CUBE', 'GNRC', 'AES', 'WCC', 'TFX', 'MIDD', 'GIL', 'DINO', 'MDGL', 'HALO', 'IDA', 'FSS', 'VNT', 'DNB', 'NSIT', 'ITRI', 'SON', 'IDCC', 'KTB', 'SM', 'AVNT', 'BGC', 'DORM', 'GVA', 'SIM', 'SBRA', 'OGN', 'CNK', 'VRRM', 'PBF', 'WEN', 'EGO', 'TRN', 'VRN', 'MRUS', 'KYMR', 'LAUR', 'CWT', 'DRVN', 'DFH', 'KWR', 'CON', 'SPNT', 'SEM', 'AGIO', 'UTZ', 'ICFI', 'ALG', 'LMAT', 'PHIN', 'CIFR', 'BTE', 'UPBD', 'DSGR', 'DFIN', 'GDYN', 'FDP', 'TVTX', 'TNC', 'SABR', 'DMLP', 'UNIT', 'BCYC', 'FOXF', 'GEL', 'CGAU', 'CRAI', 'UUUU', 'ARDX', 'COHU', 'VIR', 'MSEX', 'NEXA', 'MGPI', 'ZYME', 'ECVT', 'BJRI', 'GCI', 'CCO', 'FDUS', 'MCS', 'PACK', 'NVRI', 'WLDN', 'TREE', 'ACCO', 'BAND', 'CDXC', 'CDXS', 'ZEUS', 'MERC', 'OBE', 'RMAX', 'NREF', 'LOCO', 'CCCC', 'CMPS', 'CPS', 'ANIK', 'ASUR', 'SAMG', 'CPSS', 'CIO', 'CLPR', 'FET', 'CCRD', 'SES', 'DM', 'INMB', 'OFS', 'GECC', 'AXTI', 'NKLA', 'MCHX', 'LTBR', 'KLXE', 'NINE', 'NVNO', 'GLBZ', 'EVAX', 'MRIN', 'SYRS', 'PW']"
2024-11-01,"['ENB', 'D', 'PPL', 'MGA', 'GTLS', 'W', 'ESNT', 'USM', 'TDS', 'AMR', 'ABR', 'DBRG', 'TILE', 'MD', 'PRLB', 'ASIX', 'BFLY', 'FUBO', 'BDSX', 'EML', 'TUSK', 'INTT', 'RPID', 'CMLS', 'GLTO']"
2024-11-04,"['MAR', 'ZTS', 'CEG', 'O', 'FANG', 'AIG', 'FIS', 'PEG', 'SLF', 'BNTX', 'TPG', 'ES', 'ALAB', 'CRBG', 'ENTG', 'BWXT', 'WTRG', 'VNOM', 'VNO', 'GKOS', 'CE', 'FRPT', 'RHP', 'TEM', 'CHH', 'HIMS', 'BFAM', 'KNF', 'GXO', 'BCC', 'KRYS', 'BWIN', 'TGS', 'TGTX', 'FTDR', 'PRIM', 'HHH', 'OGS', 'APLE', 'DOCN', 'CWK', 'CRGY', 'HUN', 'VRNA', 'BSM', 'CC', 'PLMR', 'AGM', 'IDYA', 'AGM.A', 'ADUS', 'MQ', 'SUPN', 'CENX', 'SEI', 'VVX', 'IART', 'HPK', 'KOS', 'BCRX', 'ANDE', 'ARIS', 'WLFC', 'ELME', 'ENFN', 'EVEX', 'CDNA', 'DXPE', 'NTST', 'VMEO', 'ATUS', 'OMI', 'AHH', 'ALX', 'FBRT', 'TRS', 'REAL', 'FWRD', 'HSII', 'PARR', 'UTL', 'JELD', 'HCKT', 'ABCL', 'INN', 'PRAA', 'CSTL', 'VTS', 'NVTS', 'GOOD', 'BRCC', 'METCB', 'EVER', 'METC', 'DHC', 'CRD.B', 'CRD.A', 'SMLR', 'GLRE', 'CANG', 'MYE', 'TCMD', 'DHIL', 'CLW', 'WOW', 'PSTL', 'LSEA', 'AQST', 'ARTNA', 'FHTX', 'IPI', 'MYPS', 'HDSN', 'TBI', 'GTE', 'FTK', 'GROY', 'MED', 'TDUP', 'SSP', 'BCOV', 'CLLS', 'IDR', 'EDIT', 'BOOM', 'ADVM', 'GAIA', 'CNTY', 'OPAD', 'PRPL', 'VRCA', 'CVGI', 'ICCH', 'COHN', 'DTIL', 'UBX']"
2024-11-05,"['CPNG', 'TRGP', 'DVN', 'PBA', 'IFF', 'BLDR', 'EXPD', 'WLK', 'VIV', 'FMS', 'KGC', 'EXAS', 'PCVX', 'GMED', 'BLD', 'HSIC', 'MASI', 'FYBR', 'OGE', 'PAAS', 'LPX', 'CIGI', 'TIMB', 'TX', 'NOVT', 'STVN', 'NE', 'CRC', 'RARE', 'GBTG', 'APLS', 'NOG', 'CRSP', 'NPO', 'TAC', 'SHC', 'PAYO', 'NMRK', 'RYTM', 'NHI', 'GPOR', 'MLCO', 'ARCH', 'RVLV', 'LGIH', 'NEO', 'BEAM', 'UFPT', 'HLMN', 'MBC', 'TSLX', 'PAX', 'WMK', 'GO', 'HLIO', 'WTTR', 'XMTR', 'INFN', 'ERO', 'USPH', 'NRP', 'DEA', 'CRCT', 'ACDC', 'AHCO', 'SAFT', 'MSC', 'VTEX', 'SNDX', 'BOW', 'EXK', 'BCSF', 'LMB', 'IGIC', 'VTOL', 'GOGO', 'HY', 'SWIM', 'STKL', 'CGBD', 'GLDD', 'WLKP', 'CTKB', 'QURE', 'BVS', 'PTLO', 'BBAI', 'NCMI', 'TRDA', 'EOSE', 'IMOS', 'LDI', 'TXO', 'STOK', 'LIND', 'OLP', 'BGS', 'CNSL', 'RYAM', 'VERV', 'IVR', 'BLDP', 'LAAC', 'TMCI', 'SNDL', 'MUX', 'ANAB', 'AIP', 'PMTS', 'MEC', 'VPG', 'WEYS', 'ACIU', 'ONIT', 'SOPH', 'MGNX', 'MITT', 'INZY', 'ELA', 'OXSQ', 'PAYS', 'SHIP', 'BDTX', 'STHO', 'CMT', 'MPLN', 'GIFI', 'IPSC', 'KPTI', 'NVCT', 'SQNS', 'HYMC', 'XPL', 'AHT', 'MNDO', 'GORO', 'NERV', 'NURO', 'VERB', 'SBFM', 'AQB']"
2024-11-06,"['APP', 'MELI', 'WMB', 'ET', 'SRE', 'MFC', 'AEP', 'HUBS', 'TTWO', 'IRM', 'ANSS', 'TPL', 'TKO', 'NTR', 'AEE', 'FNV', 'TS', 'Z', 'ZG', 'TRMB', 'GFL', 'OC', 'FNF', 'LINE', 'SUI', 'DUOL', 'RPRX', 'WES', 'GMAB', 'HST', 'JLL', 'ALB', 'PR', 'SRPT', 'KVYO', 'RGLD', 'PNW', 'CRL', 'PRI', 'BROS', 'KNTK', 'AGI', 'VERX', 'SKM', 'APA', 'RVMD', 'CWAN', 'CHRD', 'JAZZ', 'SUN', 'ENLC', 'CELH', 'STWD', 'JXN', 'QTWO', 'IONQ', 'LYFT', 'LNTH', 'SITM', 'JOBY', 'IONS', 'OBDC', 'CYTK', 'FSK', 'WAY', 'WK', 'STRL', 'FG', 'SWX', 'PAM', 'LOPE', 'ORA', 'FUN', 'ELP', 'CLBT', 'CORZ', 'IPAR', 'GH', 'BCO', 'SKT', 'MWA', 'CLVT', 'KGS', 'PRGO', 'POWI', 'BTG', 'HL', 'MGEE', 'OR', 'DV', 'CXT', 'SGHC', 'ECG', 'DNLI', 'VCYT', 'VAC', 'STR', 'EE', 'JANX', 'GNW', 'AWR', 'NMIH', 'FOLD', 'ACAD', 'IIPR', 'CDE', 'AVA', 'AMED', 'KROS', 'EQX', 'ODD', 'LXP', 'CPRX', 'ENOV', 'BATRK', 'BATRA', 'ARDT', 'VSEC', 'AVDX', 'UPWK', 'EVTC', 'TNDM', 'KAR', 'CCU', 'RXRX', 'RAMP', 'AMPH', 'SLNO', 'BAK', 'DKL', 'HG', 'TRIP', 'CTRI', 'CERT', 'OBDE', 'CLDX', 'XNCR', 'XHR', 'SSRM', 'RCUS', 'GNL', 'AMC', 'VECO', 'EVO', 'FSM', 'RLJ', 'CLOV', 'LOMA', 'IMCR', 'KW', 'KRNT', 'UMH', 'ARQT', 'VET', 'FSLY', 'LZ', 'CDRE', 'TPC', 'PRAX', 'SFL', 'LILAK', 'LILA', 'BLND', 'BMBL', 'PLYA', 'CIM', 'KRO', 'SBGI', 'INVA', 'ECPG', 'SII', 'DK', 'BRDG', 'VTLE', 'BBSI', 'EFC', 'MFA', 'LB', 'BKD', 'NVGS', 'KIND', 'PNTG', 'BBDC', 'BORR', 'PCRX', 'EYE', 'SLRC', 'LENZ', 'NUVB', 'DDL', 'ASTE', 'PLYM', 'ODP', 'SEDG', 'RLAY', 'CAPL', 'GHLD', 'ZIP', 'GSM', 'TCPC', 'CRSR', 'RDW', 'EOLS', 'QUBT', 'BALY', 'REPX', 'CNDT', 'ABUS', 'ADTN', 'ACIC', 'MATV', 'TGB', 'GNK', 'CLNE', 'FRPH', 'CCRN', 'GMRE', 'ATRO', 'GPRK', 'KIDS', 'RDVT', 'MEG', 'FARO', 'SENEA', 'HCAT', 'BWMN', 'DIN', 'URGN', 'ASC', 'EBS', 'RGNX', 'URG', 'ALNT', 'XPER', 'MXCT', 'SVC', 'EHAB', 'SD', 'PKOH', 'LAND', 'NL', 'GNE', 'COOK', 'TRUE', 'LAW', 'ACRS', 'NEWT', 'CTNM', 'HRTG', 'CIX', 'SMRT', 'VMD', 'KLTR', 'TNGX', 'TPVG', 'OSUR', 'GWRS', 'NYXH', 'SERA', 'TNYA', 'REI', 'SGC', 'MODV', 'IRBT', 'PFMT', 'PSNL', 'BYND', 'TTEC', 'GHI', 'BHR', 'AMPY', 'ZVIA', 'AEVA', 'FOA', 'VLN', 'FREY', 'KFS', 'EVC', 'SANG', 'AOMR', 'VSTM', 'TSE', 'ALEC', 'FRGE', 'SLDB', 'CDLX', 'MYO', 'TRVI', 'CHRS', 'SPCE', 'CRBU', 'GPMT', 'EHTH', 'MDV', 'FLL', 'SEER', 'PHX', 'WBX', 'CXDO', 'VOXR', 'EPSN', 'NEON', 'ALGS', 'PETS', 'WW', 'PFIE', 'ALTO', 'MDXH', 'CNTX', 'SLNG', 'COYA', 'RRGB', 'ALLK', 'CURI', 'LSF', 'GBIO', 'ACET', 'LEV', 'VATE', 'DBVT', 'BIRD', 'OM', 'BGSF', 'AADI', 'APT', 'OSS', 'RAND', 'FFIE', 'PRLD', 'TYGO', 'SCYX', 'ELEV', 'MDAI', 'USIO', 'SABS', 'BRNS', 'MOGO', 'NDLS', 'FTEK', 'SRZN', 'KPLT', 'AUST', 'CYN', 'JNVR', 'PRPO', 'AIMD']"
2024-11-07,"['ANET', 'PBR', 'PBR.A', 'EOG', 'CRH', 'TTD', 'SQ', 'DDOG', 'MNST', 'VST', 'TRP', 'AXON', 'PCG', 'ED', 'GOLD', 'WPM', 'WBD', 'TEF', 'FWONK', 'FWONA', 'AFRM', 'TOST', 'DKNG', 'MT', 'PODD', 'MRNA', 'USFD', 'VTRS', 'AKAM', 'CNH', 'BSY', 'EPAM', 'EDR', 'EVRG', 'RIVN', 'EBR', 'AU', 'TAP.A', 'TAP', 'LBRDK', 'LBRDA', 'OVV', 'AAON', 'U', 'UWMC', 'STN', 'DBX', 'PLNT', 'CIB', 'OS', 'LCID', 'UPST', 'COLD', 'ELAN', 'TEO', 'ACIW', 'IBP', 'TKC', 'SMR', 'NVMI', 'AL', 'ALTM', 'BE', 'SEE', 'SRAD', 'NXST', 'MAIN', 'ACLX', 'CIVI', 'ADMA', 'GOLF', 'SG', 'IBOC', 'TIGO', 'RNA', 'IMVT', 'GSAT', 'KTOS', 'BL', 'HGV', 'TGLS', 'XRAY', 'NNI', 'CARG', 'REZI', 'PTCT', 'HGTY', 'YOU', 'YETI', 'GEO', 'RNG', 'HASI', 'ACVA', 'WD', 'CCOI', 'AQN', 'AVPT', 'FROG', 'MLTX', 'ALRM', 'NFE', 'FIVN', 'IAG', 'ACHR', 'SHOO', 'MP', 'PRKS', 'PLTK', 'HBI', 'TGNA', 'LCII', 'BUR', 'VERA', 'CPK', 'PENN', 'BHF', 'VCEL', 'APPN', 'WRBY', 'EWTX', 'GRND', 'QDEL', 'LFST', 'YELP', 'IOVA', 'TDW', 'PRVA', 'FLYW', 'ZD', 'MPW', 'PTGX', 'STRA', 'GERN', 'MGNI', 'RUN', 'PACS', 'LGND', 'MRX', 'VYX', 'CABO', 'SEMR', 'AG', 'DRH', 'LION', 'SPT', 'DNN', 'STGW', 'EXPI', 'JAMF', 'WWW', 'NABL', 'TRMD', 'ASTH', 'GDRX', 'DBD', 'MNKD', 'SEZL', 'PEB', 'KLG', 'INSW', 'NEXT', 'MLNK', 'WBTN', 'DNUT', 'DVAX', 'VITL', 'SAND', 'SVV', 'ARHS', 'DNOW', 'SYRE', 'PZZA', 'UP', 'PX', 'AAOI', 'ADEA', 'RXST', 'GSBD', 'KRP', 'OPEN', 'TASK', 'MRVI', 'AUPH', 'AMPL', 'OLPX', 'NTLA', 'TBLA', 'ASAI', 'BFS', 'EVH', 'AMRC', 'NVEE', 'AIV', 'MYGN', 'ARLO', 'ESTA', 'MFIC', 'OLO', 'AORT', 'CARS', 'XPEL', 'COMM', 'RC', 'RCKT', 'FWRG', 'HCI', 'RDFN', 'PDFS', 'UPB', 'GETY', 'TPB', 'ADV', 'INOD', 'OPK', 'FIGS', 'REAX', 'AMN', 'OEC', 'AVAH', 'COLL', 'ACMR', 'DCO', 'ML', 'NCDL', 'ETNB', 'ADPT', 'PSTX', 'GDEN', 'ATLC', 'INDI', 'CMTG', 'GCT', 'ARRY', 'PLRX', 'PRA', 'ARKO', 'TYRA', 'AGL', 'GRNT', 'KURA', 'CEVA', 'PRTH', 'MBX', 'SEAT', 'SHEN', 'ABL', 'RAPP', 'DNTH', 'LPRO', 'DH', 'CGEM', 'TECX', 'OFIX', 'MTUS', 'THRY', 'NR', 'XPOF', 'OCS', 'VHI', 'VEL', 'ECX', 'WEST', 'SPTN', 'AXGN', 'KRT', 'FNKO', 'TRML', 'PACB', 'OPAL', 'CION', 'RNAC', 'BIGC', 'GDOT', 'IRWD', 'OPFI', 'JMIA', 'EYPT', 'LAC', 'PHAT', 'LASR', 'SERV', 'MNMD', 'THRD', 'PRCH', 'ESPR', 'GLUE', 'KELYB', 'HOUS', 'YORW', 'GBLI', 'KELYA', 'CLDT', 'ARCT', 'CCSI', 'OUST', 'AGS', 'CLPT', 'SIGA', 'ALLO', 'SKYT', 'DCGO', 'OTLY', 'TRC', 'AKBA', 'TKNO', 'CYRX', 'DSGN', 'ACRE', 'BRT', 'SCM', 'IHRT', 'NUS', 'EB', 'BLZE', 'HEAR', 'GEVO', 'PRQR', 'RCEL', 'NODK', 'XOMA', 'GAU', 'OB', 'RIGL', 'EXFY', 'BKSY', 'JSPR', 'MBI', 'ASLE', 'BRY', 'ALDX', 'RVNC', 'VALN', 'REFI', 'FSTR', 'ARQ', 'TTSH', 'AMLX', 'PBPB', 'NATR', 'LIEN', 'ONTF', 'NRDY', 'RZLT', 'WTI', 'CMRX', 'ATYR', 'TBRG', 'ARL', 'GOCO', 'AVIR', 'INSE', 'WHF', 'LFMD', 'TCI', 'CDTX', 'LYEL', 'INGN', 'AEYE', 'ONL', 'AKA', 'WRN', 'ADCT', 'SENS', 'HQI', 'SLDP', 'AMPX', 'BRLT', 'LOGC', 'TCX', 'SGHT', 'EMX', 'INFU', 'CIA', 'CLAR', 'CRBP', 'MVIS', 'DOUG', 'CRDF', 'PROF', 'NKTR', 'III', 'VTYX', 'MKTW', 'NUTX', 'NKTX', 'RCMT', 'VSTA', 'JYNT', 'QRTEB', 'BIOA', 'PEPG', 'BLNK', 'FENC', 'OKUR', 'ZURA', 'GOSS', 'TSQ', 'PTMN', 'RPTX', 'UEIC', 'ACHV', 'UPLD', 'SSSS', 'PBYI', 'APLT', 'QRHC', 'QRTEA', 'LCUT', 'SAVA', 'CBUS', 'ZOM', 'USAS', 'TELA', 'MNTX', 'KVHI', 'THM', 'RGLS', 'LVO', 'SKYE', 'IMUX', 'DTC', 'VCSA', 'CPHC', 'FOSL', 'HBIO', 'INVE', 'STKS', 'AVTX', 'VFF', 'HLVX', 'ASMB', 'SUNS', 'CTMX', 'SKLZ', 'VIGL', 'LNSR', 'MKFG', 'PHUN', 'SST', 'HOWL', 'EDAP', 'IKNA', 'PMVP', 'BEAT', 'ALXO', 'LPSN', 'BOLD', 'SGA', 'BCAB', 'QTTB', 'IOR', 'VTGN', 'AUID', 'TPIC', 'VOR', 'LRFC', 'SUP', 'LINK', 'HGBL', 'REFR', 'CELU', 'CPTN', 'RLYB', 'CTSO', 'LICY', 'FTHM', 'XLO', 'LTRN', 'NEUE', 'TACT', 'ISDR', 'VYNE', 'LUMO', 'CPIX', 'AXDX', 'NSYS', 'HYFM', 'NXTC', 'LPCN', 'AACG', 'DRIO', 'CMBM', 'CODX', 'GREE', 'MXC', 'ATHA', 'CARM', 'CVKD', 'PSHG', 'MTVA', 'APRE', 'FCUV', 'NEPH', 'CING', 'BSLK', 'RLMD', 'IMNN', 'CUTR', 'INBS', 'EVOK', 'WHLR', 'APVO', 'OBLG', 'LFLY', 'QNRX', 'DWTX', 'ISPC', 'THAR', 'AUUD', 'RELI', 'AVGR', 'NBY', 'BJDX']"
2024-11-08,"['SONY', 'AMX', 'TU', 'UI', 'NRG', 'RBA', 'LAMR', 'FLR', 'FRHC', 'PARAA', 'PARA', 'ERJ', 'IEP', 'FLG', 'NXE', 'PAGP', 'ATMU', 'PAR', 'AMRX', 'GCMG', 'CEPU', 'AKRO', 'CLMT', 'NHC', 'GLP', 'HE', 'FTRE', 'MMI', 'DCBO', 'CMPO', 'ATSG', 'ANIP', 'TIXT', 'BLMN', 'IE', 'CRESY', 'SPLP', 'AXL', 'AC', 'BH', 'BH.A', 'HIPO', 'KOP', 'ECO', 'IMXI', 'NPK', 'ALTI', 'FLGT', 'IGMS', 'HUMA', 'STRW', 'XERS', 'SANA', 'YMAB', 'GTN.A', 'AMCX', 'DCTH', 'GTN', 'CGC', 'AIRS', 'HLLY', 'TG', 'PAL', 'OCGN', 'FF', 'UHG', 'LNZA', 'IFRX', 'ULBI', 'DIBS', 'MNPR', 'BCOW', 'ATLX', 'GAN', 'ENTX', 'ANVS', 'APYX', 'SELF', 'NXL', 'OPHC', 'INUV', 'UG', 'FSEA', 'SVT', 'PULM', 'BFRG', 'CMCT', 'YHGJ', 'AWX', 'APTO', 'KPRX', 'DOMH', 'MBIO', 'SNGX', 'MBRX', 'CREG', 'CELZ', 'REVB']"
2024-11-11,"['LYV', 'GRAB', 'SBS', 'ICL', 'ZETA', 'AROC', 'AGO', 'IAC', 'NPWR', 'TALO', 'SPNS', 'GATO', 'ANGI', 'GSL', 'YALA', 'MLYS', 'DDI', 'EGY', 'LINC', 'BIOX', 'ISPR', 'LAZR', 'CMCL', 'STXS', 'JRVR', 'NVRO', 'AVD', 'BAER', 'QUIK', 'ASRT', 'TISI', 'GEG', 'SPRB', 'ATER', 'FGI', 'NUWE', 'AMIX']"
