ticker,pe_ratio,combinedrank
MTW,6.25,212.0
GTLS,37.8,213.0
KMPR,13.73,214.0
EVR,22.56,215.0
AIP,0.0,216.0
USEG,0.0,217.0
HCA,15.18,218.0
IDR,25.29,219.0
ONON,54.89,220.0
NL,5.74,221.0
SST,0.0,222.0
IGC,0.0,223.0
MS,15.17,224.0
MKTX,29.96,225.0
AXGN,0.0,226.0
JEF,19.86,226.0
WGS,0.0,228.0
LFVN,29.07,229.0
ITGR,34.61,229.0
ECOR,0.0,231.0
BVS,0.0,232.0
PULM,0.0,232.0
WTRG,17.91,234.0
DSGN,0.0,235.0
POST,18.44,236.0
SKYW,11.63,236.0
MHH,38.96,238.0
UNFI,16.86,238.0
OPHC,3.2,240.0
QD,72.25,241.0
LNC,2.0,242.0
GLDD,11.11,243.0
SVM,11.47,244.0
STE,47.87,245.0
BBU,2.91,246.0
ALLT,0.0,247.0
CENX,6.36,248.0
PRIM,19.41,249.0
VMI,19.01,250.0
EME,18.55,251.0
KMI,23.98,251.0
GTX,7.06,253.0
BYD,10.89,254.0
FTAI,0.0,254.0
OXBR,0.0,256.0
VCTR,13.79,257.0
KEP,3.49,258.0
RMD,26.11,259.0
RM,7.38,260.0
TRU,58.4,261.0
SBRA,32.7,262.0
BYRN,35.24,263.0
NNI,22.8,264.0
FOUR,28.5,265.0
BDSX,0.0,266.0
SUPN,24.48,267.0
PNTG,34.47,268.0
FINV,2.75,269.0
BH,0.0,270.0
CVGW,83.83,271.0
GLAD,6.71,272.0
BURL,30.37,273.0
ONTF,0.0,274.0
CVU,2.64,274.0
ALL,12.37,276.0
RGLD,30.81,277.0
CRNT,11.41,278.0
FSLY,0.0,278.0
CNK,11.41,280.0
EMR,26.68,280.0
EQBK,10.12,282.0
EAT,25.2,283.0
ZM,23.69,284.0
TXRH,26.39,284.0
FLS,24.03,286.0
JLL,22.44,287.0
EBS,0.0,288.0
NMTC,0.0,289.0
OKE,19.47,290.0
BBAR,1.45,291.0
TALK,inf,292.0
CBL,14.45,293.0
ACIW,29.56,294.0
RENE,91.0,295.0
AVGO,91.52,295.0
INVZ,0.0,297.0
FPH,5.83,297.0
FEIM,0.0,299.0
CDP,22.02,300.0
DUK,21.04,301.0
GS,13.88,302.0
TRUP,0.0,303.0
WLKP,13.24,304.0
MDT,27.73,305.0
CRBG,8.59,306.0
NKTR,0.0,307.0
BILI,0.0,308.0
ALKS,15.63,309.0
HIG,11.56,310.0
SONY,20.2,311.0
WSR,20.42,312.0
PBI,0.0,313.0
TFPM,0.0,314.0
STC,27.28,315.0
QTWO,0.0,316.0
TSN,20.41,317.0
ALKT,0.0,318.0
EVCM,0.0,319.0
CDXS,0.0,320.0
ACMR,18.09,321.0
CEG,18.46,322.0
FMAO,12.8,323.0
TKNO,0.0,324.0
CLS,25.57,325.0
PLXS,29.95,326.0
MC,34.38,327.0
PBYI,5.59,328.0
REAX,0.0,329.0
RTX,37.88,330.0
PTN,0.0,331.0
KAR,38.94,332.0
FLR,3.09,333.0
GBX,9.57,334.0
WRN,0.0,335.0
NOK,21.32,336.0
NXTC,0.0,337.0
UPST,0.0,338.0
INFY,22.86,339.0
HOOD,0.0,340.0
AUMN,0.0,341.0
TRV,12.09,342.0
ABT,16.57,343.0
BHC,0.0,344.0
GIFI,7.64,345.0
AWX,12.0,345.0
COKE,18.81,347.0
AMZN,35.25,347.0
IROQ,26.04,349.0
NMG,0.0,350.0
ED,20.7,350.0
DBGI,0.0,352.0
ARMK,26.87,353.0
ORN,0.0,354.0
CARR,10.58,355.0
VTR,356.37,356.0
TNXP,0.0,357.0
FNF,13.79,358.0
VIST,0.0,359.0
VZ,10.57,360.0
ITRI,0.0,361.0
TOON,0.0,362.0
ASMB,0.0,363.0
SNV,15.51,364.0
ATR,26.21,365.0
CNO,11.02,366.0
EMX,0.0,367.0
COE,0.0,368.0
GATX,20.07,369.0
APD,17.01,369.0
PSTL,67.19,371.0
SAH,9.81,372.0
VST,18.71,373.0
MTZ,61.45,374.0
TKC,9.44,375.0
KARO,26.54,376.0
MRCY,10.39,377.0
NYT,27.3,378.0
GFF,14.59,379.0
GE,34.05,380.0
BDC,21.37,381.0
TRIB,0.0,382.0
KNSL,25.8,383.0
UBER,16.3,384.0
EGHT,0.0,385.0
VNOM,12.36,386.0
RJF,13.83,387.0
ZION,10.03,388.0
CSGS,19.83,389.0
PGR,19.07,390.0
MET,13.86,391.0
NXST,8.24,392.0
OR,0.0,393.0
QNST,0.0,394.0
FSP,0.0,394.0
LARK,12.8,396.0
TXMD,0.0,397.0
ISPC,0.0,398.0
ENVB,0.0,399.0
GDS,0.0,400.0
F,6.86,400.0
CIGI,38.81,402.0
NOC,17.26,403.0
APP,67.56,404.0
BL,34.33,405.0
PRCH,0.0,406.0
ING,11.22,407.0
HEI,64.72,408.0
AI,0.0,409.0
NXL,0.0,410.0
BOSC,9.87,411.0
BABA,19.78,412.0
GAMB,17.09,413.0
AKR,119.33,414.0
MNPR,0.0,415.0
NWE,15.39,416.0
BKTI,23.32,417.0
AGI,43.48,418.0
SNCR,0.0,418.0
TOST,0.0,420.0
FIX,24.42,421.0
KOSS,0.0,422.0
OMER,0.0,423.0
HCTI,0.0,423.0
LMAT,44.16,425.0
MDRR,48.35,426.0
DRUG,0.0,427.0
FSM,76.0,428.0
ELME,0.0,429.0
BNGO,0.0,430.0
WRB,14.57,431.0
HONE,16.29,432.0
LXP,69.31,433.0
CLIR,0.0,434.0
THG,14.63,434.0
VZLA,inf,436.0
ORGO,0.0,437.0
KD,0.0,438.0
GVA,14.09,439.0
TD,17.62,440.0
CWAN,16.08,441.0
KREF,62.78,442.0
GHC,5.83,443.0
GLYC,0.0,444.0
WRAP,0.0,445.0
PFG,12.59,446.0
WMT,35.61,447.0
CDNA,18.53,448.0
ITRG,0.0,449.0
LUV,47.43,450.0
SEIC,17.2,451.0
RNG,0.0,452.0
BFLY,0.0,453.0
TMQ,0.0,454.0
MNMD,0.0,455.0
VEON,9.48,455.0
ARGX,0.0,457.0
BAK,0.0,457.0
PCYO,19.33,459.0
NLY,13.69,460.0
USLM,24.87,461.0
MCHX,0.0,462.0
QGEN,98.11,462.0
META,24.5,464.0
PNFP,17.65,465.0
PNRG,9.24,466.0
MYO,0.0,467.0
SHPH,0.0,468.0
HWC,9.84,469.0
BKU,11.25,470.0
ACM,26.99,471.0
TILE,43.43,472.0
NXTT,0.05,472.0
SE,847.27,474.0
MAIA,0.0,475.0
BOKF,12.62,475.0
CMP,0.0,477.0
HMN,16.67,478.0
PDEX,24.4,478.0
RFIL,0.0,480.0
GEG,0.0,481.0
VMAR,0.0,482.0
ELMD,33.32,483.0
AFL,11.32,484.0
UVSP,11.09,485.0
KRNY,0.0,485.0
EHC,22.23,487.0
BRNS,0.0,488.0
MORN,34.5,489.0
SRAD,111.5,490.0
KULR,0.0,491.0
CHH,20.87,492.0
VCYT,106.13,493.0
SMBK,16.26,494.0
IBKR,24.91,495.0
CLRB,0.0,496.0
SIEB,10.15,497.0
IHS,0.0,498.0
PJT,29.07,499.0
GROY,0.0,500.0
STRL,15.21,501.0
PAVM,0.0,501.0
TPL,69.55,503.0
FGBI,10.15,504.0
TRGP,34.76,505.0
PRI,21.01,506.0
CVAC,5.4,507.0
XERS,0.0,508.0
NTRA,0.0,509.0
ELP,52.86,510.0
PRPL,0.0,511.0
EVTC,21.46,512.0
ACB,91.4,513.0
BANC,25.16,514.0
CLOV,0.0,515.0
NWG,13.91,516.0
MAPS,25.2,517.0
WEC,22.32,518.0
FFIN,22.85,519.0
ROP,40.13,520.0
HLI,30.97,520.0
SPOT,99.92,522.0
FTI,18.55,523.0
USB,11.24,524.0
MTA,0.0,525.0
LYV,44.9,526.0
DFLI,0.0,527.0
WMK,19.2,528.0
XLO,0.0,529.0
LMND,0.0,530.0
ACR,27.83,531.0
AVDX,211.5,532.0
AGX,25.23,533.0
ESS,26.18,533.0
CTRE,36.7,533.0
BPOP,10.54,536.0
MBIO,0.0,537.0
STSS,0.0,538.0
PRTG,0.0,539.0
BBW,9.87,540.0
SLG,728.38,541.0
CYN,0.0,542.0
SBS,7.07,543.0
ABVC,0.0,544.0
APPN,0.0,545.0
EXLS,38.37,546.0
GT,38.79,547.0
ANY,0.0,548.0
CBRE,41.44,549.0
CIG,3.68,550.0
CNTA,0.0,551.0
BSET,0.0,551.0
UPXI,0.0,553.0
DAO,115.57,554.0
AEP,18.97,555.0
SSNC,27.45,556.0
FBIZ,9.3,557.0
FLXS,10.9,558.0
YMM,31.6,559.0
ACCO,0.0,560.0
SFM,37.17,561.0
ALT,0.0,562.0
CAKE,15.17,563.0
BBD,7.62,563.0
MRSN,0.0,565.0
TIPT,18.22,566.0
LGVN,0.0,567.0
TBBK,12.66,568.0
DORM,20.57,569.0
MIRM,0.0,570.0
TOMZ,0.0,570.0
INTZ,0.0,570.0
IESC,17.41,573.0
PLMR,29.18,574.0
ITIC,16.05,575.0
PPTA,0.0,576.0
ELBM,0.0,577.0
IMNN,0.0,577.0
WTFC,11.06,579.0
TFC,12.41,580.0
ACAD,12.63,581.0
PBR,5.48,582.0
ONVO,0.0,583.0
III,74.4,584.0
LSTA,0.0,585.0
WILC,14.43,586.0
FICO,85.06,587.0
CRAI,26.39,587.0
BILL,0.0,589.0
IDCC,18.2,590.0
ADEA,24.23,591.0
CAC,11.45,592.0
OKTA,2820.0,593.0
RVMD,0.0,594.0
ERJ,19.3,595.0
CRDO,0.0,596.0
CRS,35.13,597.0
SITM,0.0,597.0
ICE,36.73,599.0
FE,23.42,600.0
DLB,30.1,601.0
AM,21.42,602.0
APEI,41.15,602.0
NDAQ,40.06,604.0
WAT,33.91,605.0
CURI,0.0,606.0
VSEC,145.31,607.0
UI,43.42,608.0
GNL,0.0,609.0
BOLT,0.0,609.0
LII,25.68,611.0
CVM,0.0,611.0
WWR,0.0,613.0
AU,32.3,614.0
YCBD,0.0,615.0
MAA,36.29,616.0
LUCY,0.0,617.0
PPC,17.96,618.0
CPAC,10.12,619.0
OKUR,0.0,620.0
BSGM,0.0,621.0
RNXT,0.0,622.0
AB,10.25,623.0
RAND,4.27,624.0
XPER,0.0,625.0
HUBB,23.62,626.0
VNT,12.32,627.0
VEEV,58.23,628.0
OUST,0.0,629.0
RGLS,0.0,630.0
BSX,81.21,631.0
HWM,46.69,632.0
CPK,23.82,633.0
LYFT,195.83,634.0
CRMD,0.0,635.0
AXON,116.58,636.0
TRP,15.17,637.0
UCB,13.78,638.0
FTNT,43.56,639.0
SSB,13.33,640.0
AR,128.03,641.0
SHBI,14.92,642.0
CVNA,118.1,642.0
GH,0.0,644.0
LIND,0.0,645.0
SNT,49.57,646.0
APAM,11.1,647.0
LDTC,0.0,648.0
WYY,0.0,649.0
EEFT,16.75,650.0
BIDU,11.54,651.0
ALHC,0.0,652.0
SFBS,19.71,653.0
ONCO,0.0,654.0
SMID,27.26,655.0
PX,74.75,656.0
NTCT,0.0,657.0
HL,117.0,658.0
LCTX,0.0,658.0
ULCC,15.33,660.0
ISPO,0.0,661.0
ETON,0.0,662.0
UPWK,8.79,663.0
UNTY,10.25,664.0
DAVE,20.61,665.0
HLNE,27.53,666.0
MSI,45.8,667.0
PPIH,7.14,668.0
SELF,19.07,669.0
BFAM,52.63,670.0
WIT,20.69,671.0
PATH,0.0,672.0
ESLA,0.0,673.0
VINE,0.0,674.0
ECPG,0.0,675.0
WKHS,0.0,676.0
EARN,5.14,677.0
WPM,56.4,678.0
CWK,19.22,679.0
ARES,72.58,680.0
TCBS,0.0,681.0
UAL,0.0,682.0
MRVL,0.0,682.0
ATRA,0.0,684.0
REVB,0.0,685.0
POWL,13.77,686.0
SHOP,65.71,687.0
CNNE,0.0,688.0
PLUR,0.0,688.0
MIR,0.0,690.0
SII,23.78,691.0
SYBT,17.69,692.0
BRFS,8.07,693.0
CTSO,0.0,694.0
VCEL,262.11,695.0
PTIX,0.0,696.0
HIFS,22.44,697.0
ATEN,26.01,698.0
KSCP,0.0,699.0
ARAY,0.0,700.0
APTO,0.0,700.0
INAB,0.0,702.0
LYRA,0.0,703.0
AROC,25.66,704.0
ACET,0.0,705.0
WNS,22.26,706.0
FSFG,9.21,707.0
NC,7.42,708.0
DASH,714.56,709.0
JAZZ,15.99,710.0
MOVE,0.0,711.0
TMUS,26.58,712.0
MMYT,54.28,713.0
WINT,0.0,714.0
IPDN,0.0,715.0
SOBR,0.0,715.0
GNRC,24.7,717.0
VERO,0.0,718.0
SLNG,21.08,718.0
CLST,0.0,720.0
GAIA,0.0,721.0
EQR,25.8,722.0
ESLT,70.6,723.0
IKNA,0.0,724.0
BAP,11.15,725.0
XTIA,0.0,726.0
MAIN,9.89,727.0
WTBA,14.3,728.0
LRN,20.5,729.0
ANSS,49.56,730.0
LTH,41.84,731.0
TSLA,115.81,732.0
DATS,0.0,733.0
TEF,0.0,734.0
GTEC,0.0,735.0
PAM,12.23,736.0
UNF,25.59,737.0
NCRA,0.0,738.0
ISRG,76.73,739.0
CRGO,0.0,740.0
CNVS,0.0,741.0
BCRX,0.0,742.0
NN,0.0,743.0
NGVC,24.01,744.0
TCBX,12.26,744.0
MVIS,0.0,746.0
YI,0.0,747.0
SOPA,0.0,747.0
EHTH,0.0,749.0
DIS,32.2,750.0
AEMD,0.0,751.0
DOCS,62.77,752.0
SAP,94.67,753.0
SANM,19.15,754.0
ALLO,0.0,755.0
ME,0.0,756.0
SLS,0.0,757.0
CBU,16.62,758.0
ALTS,0.0,759.0
ATGE,18.39,760.0
SRZN,0.0,761.0
IBIO,0.0,761.0
HLN,28.86,763.0
SPRB,0.0,764.0
PH,25.86,765.0
SYTA,0.0,765.0
PRLD,0.0,767.0
AAL,9.88,768.0
MEC,11.58,769.0
NVST,0.0,770.0
CEPU,4.81,771.0
BTBT,8.57,771.0
OFS,4.53,773.0
MGNX,0.0,773.0
AQB,0.0,775.0
NWSA,37.21,776.0
GHM,37.84,777.0
VNRX,0.0,778.0
XPON,0.0,779.0
MRBK,14.0,780.0
PDYN,0.0,781.0
HOTH,0.0,782.0
RNAZ,0.0,782.0
RDCM,26.26,784.0
GB,110.56,784.0
ENSG,25.36,786.0
DYAI,0.0,787.0
ZIM,1.01,788.0
AGS,71.41,789.0
OTRK,0.0,790.0
NEUE,0.0,790.0
GFL,0.0,792.0
DPRO,0.0,793.0
CVV,0.0,793.0
LQDT,41.2,795.0
SINT,0.0,796.0
CBSH,15.32,797.0
CTAS,46.89,798.0
CSWI,34.97,798.0
TW,61.37,800.0
CHEF,39.76,801.0
EFSC,11.49,802.0
C,12.07,803.0
GME,130.61,804.0
TENX,0.0,805.0
CING,0.0,806.0
TGS,24.92,806.0
CLDI,0.0,808.0
TU,29.9,809.0
ABAT,0.0,810.0
CORT,46.44,811.0
APH,34.65,812.0
BLDE,0.0,813.0
UNM,8.56,814.0
BSVN,8.07,814.0
LFST,0.0,816.0
AZZ,56.54,816.0
PNC,12.61,818.0
ENLV,0.0,818.0
YTRA,inf,820.0
GANX,0.0,821.0
FSEA,0.0,822.0
JBLU,0.0,823.0
AG,0.0,824.0
MKC,27.54,825.0
BWAY,102.8,826.0
BJDX,0.0,827.0
PIPR,25.16,828.0
PFSI,17.39,829.0
HLT,37.71,830.0
WES,10.38,831.0
FCFS,20.5,831.0
PBH,19.76,833.0
LC,24.64,834.0
PLNT,49.92,835.0
CKPT,0.0,836.0
BSRR,10.33,836.0
COFS,8.88,838.0
AFRM,0.0,839.0
ALK,17.33,840.0
DNA,0.0,841.0
ESP,10.88,842.0
VINC,0.0,843.0
CCNE,9.5,844.0
ATER,0.0,845.0
NEON,0.0,846.0
SCHW,26.28,847.0
PLX,0.0,847.0
SHG,5.1,849.0
PODD,45.84,849.0
NBTB,14.59,851.0
QNRX,0.0,852.0
FCUV,0.0,853.0
TGI,3.53,854.0
ATO,21.48,855.0
MIND,2.29,856.0
VS,0.0,857.0
AXSM,0.0,858.0
CW,31.04,859.0
TIGO,33.12,860.0
AMP,14.91,861.0
URI,16.28,862.0
ALSN,11.9,863.0
CAT,15.24,864.0
EXFY,0.0,865.0
MD,0.0,866.0
CDIO,0.0,867.0
OPOF,18.69,868.0
MTB,12.09,869.0
SOL,0.0,869.0
ORC,13.72,871.0
TJX,27.29,871.0
HHH,19.2,873.0
INTU,56.01,874.0
SYPR,0.0,875.0
NIC,14.04,876.0
FRME,11.95,876.0
RCL,20.09,878.0
FORTY,19.45,879.0
GDOT,0.0,879.0
VIVK,0.0,881.0
LGO,0.0,881.0
TRVG,0.0,883.0
RLYB,0.0,884.0
IMAX,54.06,885.0
CPRT,36.14,886.0
EPD,12.68,887.0
WIX,105.71,887.0
MSFT,31.15,889.0
BX,40.98,890.0
SCI,22.19,890.0
IE,0.0,892.0
KR,17.63,893.0
WK,0.0,894.0
AMX,21.15,895.0
SAR,9.85,896.0
TGLS,21.21,897.0
FCNCA,9.73,898.0
AMWL,0.0,898.0
GPUS,0.0,900.0
BANR,13.17,901.0
GHLD,8.91,902.0
MDAI,0.0,902.0
JTAI,0.0,904.0
BMO,12.73,905.0
UNP,21.17,906.0
PGEN,0.0,907.0
AREN,0.0,908.0
MSGM,0.75,909.0
GRBK,6.95,910.0
UNIT,13.49,910.0
SYBX,0.0,912.0
BWXT,32.7,913.0
PRK,16.53,914.0
CSV,18.25,915.0
PSMT,18.55,916.0
EFX,50.4,917.0
ALUR,0.0,918.0
OM,0.0,919.0
ETN,31.11,920.0
ESPR,0.0,921.0
CCG,0.0,922.0
TTWO,0.0,923.0
EFOI,0.0,924.0
KITT,0.0,925.0
VTVT,0.0,926.0
EKSO,0.0,927.0
ADP,31.02,928.0
OESX,0.0,928.0
CANG,23.18,928.0
MVST,0.0,931.0
STT,10.99,932.0
OKLO,0.0,933.0
DESP,120.25,934.0
PACB,0.0,934.0
GGAL,inf,936.0
ALGS,0.0,937.0
IIIV,5.47,938.0
SBAC,31.84,939.0
CVCO,25.66,940.0
PHR,0.0,940.0
TYL,93.89,940.0
FUTU,26.75,940.0
PAHC,45.44,944.0
VMC,34.85,945.0
NEWP,0.0,946.0
DRS,42.65,947.0
PWR,44.96,948.0
AON,31.06,948.0
CPIX,0.0,950.0
VVOS,0.0,951.0
ASLE,139.83,952.0
BCDA,0.0,952.0
STRR,0.0,952.0
NOMD,12.95,955.0
DGICB,19.86,955.0
HIMS,60.87,957.0
SCLX,0.0,958.0
TKO,7520.0,959.0
NRXP,0.0,960.0
UPLD,0.0,961.0
FNLC,10.31,962.0
BTM,0.0,963.0
FFIV,26.69,964.0
OHI,24.26,964.0
OSW,25.07,966.0
CRM,43.87,967.0
ALG,19.56,968.0
R,12.67,969.0
HNST,0.0,969.0
ZH,0.0,971.0
KTB,14.4,972.0
KLTR,0.0,973.0
ITT,21.45,974.0
MSS,0.0,975.0
PAG,10.91,976.0
IVZ,13.15,976.0
AGM,11.7,978.0
IRMD,35.0,979.0
YELP,18.46,979.0
GTY,24.25,981.0
FLGT,0.0,982.0
RF,11.18,982.0
SRFM,0.0,984.0
BURU,0.0,985.0
VNET,0.0,986.0
HURN,23.62,987.0
JAGX,0.0,988.0
GWAV,0.0,989.0
FOXA,11.39,989.0
AVIR,0.0,989.0
HBAN,12.15,992.0
BLK,22.72,993.0
WOW,0.0,993.0
UMBF,11.42,993.0
HWBK,14.87,996.0
PAC,18.22,996.0
CISO,0.0,998.0
CMI,11.55,998.0
SKIL,0.0,1000.0
GSHD,100.28,1001.0
TRAK,62.0,1002.0
SGU,12.93,1003.0
BEEP,0.0,1004.0
MGEE,27.8,1005.0
PEGA,71.24,1006.0
EVRG,17.93,1007.0
RL,20.54,1008.0
SAFT,16.17,1008.0
INBS,0.0,1010.0
GOOD,57.19,1011.0
IBN,20.29,1012.0
AZUL,0.0,1012.0
WRBY,0.0,1012.0
MMI,0.0,1012.0
PLTR,459.95,1016.0
ATHA,0.0,1017.0
SNCY,13.59,1018.0
MGRC,12.16,1019.0
DNB,0.0,1020.0
TRVI,0.0,1021.0
NSPR,0.0,1022.0
SNOA,0.0,1022.0
EBAY,16.63,1024.0
BHB,10.73,1025.0
ASTS,0.0,1026.0
COMP,0.0,1027.0
SNDR,35.62,1028.0
NHI,23.96,1029.0
SIF,0.0,1030.0
WSBC,14.18,1030.0
CLMB,45.59,1032.0
ASTE,193.32,1033.0
WFC,13.48,1033.0
CDZI,0.0,1035.0
REFR,0.0,1035.0
SENS,0.0,1035.0
SCKT,0.0,1038.0
NGS,18.73,1039.0
AGFY,0.0,1040.0
MODD,0.0,1041.0
MCVT,26.0,1042.0
ALLR,0.0,1042.0
SHCO,0.0,1042.0
PZG,0.0,1045.0
ADSK,52.21,1046.0
WAB,30.75,1047.0
TDG,48.0,1048.0
VUZI,0.0,1049.0
PYPL,17.37,1049.0
CAH,24.83,1051.0
MSTR,0.0,1052.0
AIM,0.0,1053.0
VRM,0.0,1054.0
MWA,32.19,1055.0
CMND,0.0,1056.0
VANI,0.0,1057.0
AMAL,8.5,1058.0
LOPE,21.98,1059.0
ICCC,0.0,1059.0
KEN,10.17,1059.0
TRIN,7.84,1062.0
LINC,49.59,1063.0
VSCO,11.04,1063.0
SNEX,14.1,1065.0
NTB,8.16,1066.0
TWLO,0.0,1067.0
POAI,0.0,1068.0
YALA,6.95,1069.0
FARO,0.0,1069.0
NMIH,8.0,1071.0
NOW,120.66,1072.0
INSP,94.08,1073.0
TATT,33.49,1074.0
OSIS,25.41,1075.0
OPCH,28.11,1076.0
AERT,0.41,1077.0
MAG,22.55,1077.0
MSEX,24.07,1079.0
CNFR,0.3,1079.0
SLNH,0.0,1081.0
EXEL,0.0,1082.0
BCTX,0.0,1082.0
VRPX,0.0,1084.0
PTLO,26.87,1085.0
XPO,33.42,1086.0
AUBN,14.89,1087.0
IBEX,11.84,1088.0
SKY,33.43,1089.0
CAVA,76.96,1090.0
MYFW,22.28,1091.0
SXT,25.21,1092.0
NSC,20.2,1092.0
ATAT,26.04,1094.0
GLTO,0.0,1095.0
OCC,0.0,1096.0
GDDY,28.01,1097.0
BAM,43.67,1098.0
PKG,22.08,1099.0
AWI,23.39,1099.0
USIO,16.33,1101.0
ALZN,0.0,1102.0
HAYW,26.85,1103.0
AWR,23.85,1104.0
MKL,9.28,1105.0
URBN,11.46,1106.0
NB,0.0,1107.0
STXS,0.0,1107.0
LNKB,0.0,1109.0
KRG,1120.5,1109.0
TT,31.05,1111.0
NFLX,47.95,1112.0
STNE,8.73,1113.0
CNS,26.57,1114.0
FSTR,5.28,1115.0
